date,min,max,median,q1,q3,stdev,count
2022-06-09T00:00:00.000Z,0.77,2.58,1.4,1.17,1.73,0.372,504
2022-06-10T00:00:00.000Z,1,11.27,2.2,1.58,3.24,1.565,477
2022-06-11T00:00:00.000Z,1.1,9.5,2.17,1.7,2.82,0.822,469
2022-06-12T00:00:00.000Z,0.5,3.95,1.83,1.5,2.6,0.674,491
2022-06-13T00:00:00.000Z,0.4,3.15,0.99,0.7,2.02,0.725,474
2022-06-14T00:00:00.000Z,0.2,6.78,0.7,0.5,1.83,0.921,341
2022-06-15T00:00:00.000Z,0.1,6.3,0.82,0.4,1.7,0.882,502
2022-06-16T00:00:00.000Z,0,3.1,0.82,0.5,1.35,0.685,502
2022-06-17T00:00:00.000Z,0,4.09,0.8,0.4,1.2,0.764,444
2022-06-18T00:00:00.000Z,0.6,17.2,2.2,1.26,5.9,4.141,497
2022-06-19T00:00:00.000Z,0.1,215.8,0.55,0.4,0.9,11.721,458
2022-06-20T00:00:00.000Z,0.38,2.72,1.05,0.8,1.56,0.457,377
2022-06-21T00:00:00.000Z,0.8,3,1.5,1.2,2,0.491,377
2022-06-22T00:00:00.000Z,1.3,5.78,2.39,1.95,3.42,1.102,350
2022-06-23T00:00:00.000Z,0.8,9.4,1.6,1.4,2.13,1.068,322
2022-06-24T00:00:00.000Z,0.4,107.03,2.09,0.9,3.42,5.185,494
2022-06-25T00:00:00.000Z,1.14,39.42,2.1,1.63,3.72,2.838,570
2022-06-26T00:00:00.000Z,1.3,16.02,2.71,1.92,4.4,1.42,582
2022-06-27T00:00:00.000Z,1.33,6.05,2.99,2.08,4.3,1.258,554
2022-06-28T00:00:00.000Z,0.38,18.89,2.6,1.37,3.55,1.515,553
2022-06-29T00:00:00.000Z,0.82,12.63,2.2,1.9,2.8,2.104,553
2022-06-30T00:00:00.000Z,2.47,25.7,9.73,7.62,11.99,5.072,569
2022-07-01T00:00:00.000Z,3.3,29.95,8.41,5.65,11.9,4.245,554
2022-07-02T00:00:00.000Z,0.2,93.38,1.34,0.8,6.85,8.499,562
2022-07-03T00:00:00.000Z,0.25,22.95,0.9,0.63,1.3,1.45,539
2022-07-04T00:00:00.000Z,0.4,3.7,1.29,1,1.7,0.645,556
2022-07-05T00:00:00.000Z,0.13,1.77,0.6,0.45,0.8,0.235,526
2022-07-06T00:00:00.000Z,0,2.38,0.7,0.5,0.93,0.366,551
2022-07-07T00:00:00.000Z,0.3,1.95,0.8,0.65,0.9,0.229,366
2022-07-08T00:00:00.000Z,0.03,33.88,0.5,0.38,0.8,1.79,531
2022-07-09T00:00:00.000Z,0,2.92,0.4,0.17,0.6,0.312,538
2022-07-10T00:00:00.000Z,0,3.7,0.1,0,0.6,0.457,541
2022-07-11T00:00:00.000Z,0.1,4.07,0.6,0.28,0.98,0.872,553
2022-07-12T00:00:00.000Z,0,2.78,0.4,0.3,0.65,0.508,560
2022-07-13T00:00:00.000Z,0.4,2,1.1,0.8,1.3,0.322,520
2022-07-14T00:00:00.000Z,0.1,1.7,0.4,0.3,0.52,0.18,550
2022-07-15T00:00:00.000Z,0,1.05,0.22,0.17,0.4,0.173,519
2022-07-16T00:00:00.000Z,0,0.7,0.1,0.1,0.2,0.106,574
2022-07-17T00:00:00.000Z,0,1.08,0.1,0,0.1,0.119,576
2022-07-18T00:00:00.000Z,0.2,8.6,1.95,1.04,2.78,1.508,557
2022-07-19T00:00:00.000Z,0.2,7.78,1.25,0.7,4.63,2.147,580
2022-07-20T00:00:00.000Z,0.85,5.3,2.75,2.2,3.46,0.863,569
2022-07-21T00:00:00.000Z,1.55,6.4,3.83,3.35,4.25,0.957,575
2022-07-22T00:00:00.000Z,4.32,15.85,7.03,5.85,9.35,2.712,579
2022-07-23T00:00:00.000Z,0.1,13.2,0.7,0.5,1.23,3.046,571
2022-07-24T00:00:00.000Z,0.1,2.29,0.55,0.32,0.93,0.478,574
2022-07-25T00:00:00.000Z,1.38,6.7,2.4,2,2.72,0.824,580
2022-07-26T00:00:00.000Z,0.3,13.6,1.55,0.7,5.65,3.504,577
2022-07-27T00:00:00.000Z,0,2.7,0.5,0.1,1.33,0.667,570
2022-07-28T00:00:00.000Z,0,1,0.3,0.2,0.38,0.161,561
2022-07-29T00:00:00.000Z,0,1.92,0.3,0.2,0.4,0.209,563
2022-07-30T00:00:00.000Z,0.2,1.23,0.5,0.4,0.6,0.138,568
2022-07-31T00:00:00.000Z,0.1,33.65,0.4,0.35,0.51,1.39,580
2022-08-01T00:00:00.000Z,0.22,6.97,0.6,0.47,0.8,0.384,514
2022-08-02T00:00:00.000Z,0,12.13,0.56,0.3,1.2,0.973,541
2022-08-03T00:00:00.000Z,0.4,20.05,0.9,0.7,1.9,1.35,556
2022-08-04T00:00:00.000Z,0.5,8,1.82,1,2.99,1.71,460
